code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score
9984,ソフトバンクグループ,情報・通信業,4444,4.76,4067.0,4.9,1.9,4525,3640,4954,厳選,順張り,-56.43
4506,住友ファーマ,医薬品,2192,7.71,236.4,5.4,1.3,2212,1928,3288,厳選,順張り,6.19
3994,マネーフォワード,情報・通信業,4577,18.06,164.5,4.4,3.7,4577,3451,5478,厳選,順張り,-43.14
9697,カプコン,情報・通信業,3634,2.08,102.7,3.1,1.2,3698,3256,3999,厳選,順張り,-59.12
6324,ハーモニック・ドライブ・システムズ,機械,4350,6.62,77.9,4.7,1.2,4405,3920,4935,厳選,順張り,7.31
6701,日本電気,電気機器,4269,4.56,552.3,2.6,1.8,4323,3792,6036,補欠,順張り,4.39
4307,野村総合研究所,情報・通信業,4878,4.9,238.2,2.5,1.7,4908,4374,6269,補欠,順張り,-56.29
8308,りそなホールディングス,銀行業,1930,3.46,198.0,2.9,1.4,1947,1857,2193,補欠,順張り,2.27
9843,ニトリホールディングス,小売業,2502,4.73,96.8,2.9,1.0,2514,2364,3493,補欠,順張り,4.77
7733,オリンパス,精密機器,1614,1.86,80.3,2.7,0.7,1619,1523,2110,補欠,順張り,1.16
